timestamp,run,operation,method,endpoint,http_status,code,valid,result,controllerTimeMs,clientElapsedMs,message,error
2026-04-26T06:54:09,36,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,75,76.825,Qiao Sign success,
2026-04-26T06:54:09,37,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,72,74.541,Qiao Sign success,
2026-04-26T06:54:09,38,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,79,80.613,Qiao Sign success,
2026-04-26T06:54:10,39,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,86,87.938,Qiao Sign success,
2026-04-26T06:54:10,40,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,76,77.881,Qiao Sign success,
2026-04-26T06:54:10,41,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,76,77.952,Qiao Sign success,
2026-04-26T06:54:10,42,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,69,71.142,Qiao Sign success,
2026-04-26T06:54:10,43,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,97,98.781,Qiao Sign success,
2026-04-26T06:54:10,44,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,85,86.525,Qiao Sign success,
2026-04-26T06:54:10,45,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,216,217.747,Qiao Sign success,
2026-04-26T06:54:10,46,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,125,128.634,Qiao Sign success,
2026-04-26T06:54:10,47,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,116,118.452,Qiao Sign success,
2026-04-26T06:54:10,48,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,76,81.535,Qiao Sign success,
2026-04-26T06:54:11,49,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,83,84.634,Qiao Sign success,
2026-04-26T06:54:11,50,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,81,83.338,Qiao Sign success,
2026-04-26T06:54:11,51,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,74,79.903,Qiao Sign success,
2026-04-26T06:54:11,52,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,94,96.436,Qiao Sign success,
2026-04-26T06:54:11,53,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,131,133.866,Qiao Sign success,
2026-04-26T06:54:11,54,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,84,85.99,Qiao Sign success,
2026-04-26T06:54:11,55,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,84,86.239,Qiao Sign success,
2026-04-26T06:54:11,56,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,78,83.754,Qiao Sign success,
2026-04-26T06:54:11,57,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,115,116.915,Qiao Sign success,
2026-04-26T06:54:11,58,Sign-Qiao,GET,http://localhost:8080/scheme/vehicle/sign-qiao,200,20011,True,1,66,69.055,Qiao Sign success,
